freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.377e+02,1.371e+01,4.157e+01,4.930e+02
1.4,2.567e+02,2.285e+01,5.067e+01,3.302e+02
2.9,1.943e+01,1.945e+01,3.180e+01,7.069e+01
4.3,1.851e+02,1.855e+01,3.050e+01,2.342e+02
5.7,9.984e+02,1.873e+01,2.957e+01,1.047e+03
7.2,1.726e+03,1.847e+01,2.996e+01,1.775e+03
8.6,2.387e+03,1.760e+01,2.909e+01,2.434e+03
10.0,3.382e+03,1.728e+01,2.879e+01,3.428e+03
11.4,4.442e+03,1.924e+01,3.541e+01,4.497e+03
12.9,5.781e+03,2.017e+01,3.656e+01,5.838e+03
14.3,6.952e+03,2.019e+01,3.186e+01,7.004e+03
15.7,7.886e+03,2.094e+01,3.093e+01,7.938e+03
17.2,1.012e+04,2.319e+01,3.055e+01,1.017e+04
18.6,1.264e+04,3.139e+01,3.677e+01,1.271e+04
20.0,1.511e+04,3.874e+01,4.155e+01,1.519e+04
21.5,1.849e+04,4.631e+01,5.258e+01,1.859e+04
22.9,2.238e+04,5.309e+01,4.705e+01,2.248e+04
24.3,2.648e+04,6.591e+01,3.560e+01,2.658e+04
25.7,3.135e+04,7.453e+01,3.851e+01,3.146e+04
27.2,3.740e+04,7.249e+01,3.778e+01,3.751e+04
28.6,4.418e+04,7.434e+01,3.389e+01,4.429e+04
30.0,5.229e+04,1.054e+02,3.838e+01,5.244e+04
31.5,6.237e+04,1.358e+02,4.780e+01,6.255e+04
32.9,7.366e+04,1.605e+02,9.901e+01,7.391e+04
34.3,8.787e+04,1.549e+02,2.865e+02,8.831e+04
35.8,1.070e+05,9.092e+01,6.719e+02,1.078e+05
37.2,1.323e+05,9.225e+01,1.606e+03,1.340e+05
38.6,1.681e+05,2.344e+02,4.944e+03,1.733e+05
40.0,2.175e+05,7.873e+02,1.802e+04,2.363e+05
41.5,2.661e+05,2.078e+03,5.365e+04,3.218e+05
42.9,3.194e+05,2.769e+03,7.901e+04,4.012e+05
44.3,4.285e+05,2.352e+03,7.031e+04,5.012e+05
45.8,6.305e+05,1.834e+03,5.301e+04,6.854e+05
47.2,9.956e+05,1.528e+03,3.843e+04,1.036e+06
48.6,1.429e+06,1.575e+03,3.012e+04,1.460e+06
50.1,1.595e+06,2.004e+03,3.843e+04,1.636e+06
51.5,1.587e+06,2.941e+03,8.438e+04,1.674e+06
