freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.468e+02,8.453e+02,6.246e+01,1.355e+03
1.5,5.724e+02,4.863e+02,1.426e+02,1.201e+03
3.1,4.473e+02,4.593e+01,1.437e+02,6.369e+02
4.6,6.893e+02,3.077e+02,1.585e+02,1.156e+03
6.1,6.364e+02,1.123e+03,1.728e+02,1.933e+03
7.7,4.356e+02,1.965e+03,1.279e+02,2.529e+03
9.2,3.906e+02,3.119e+03,1.265e+02,3.636e+03
10.7,5.643e+02,4.861e+03,1.209e+02,5.546e+03
12.3,3.778e+02,6.107e+03,1.409e+02,6.626e+03
13.8,4.415e+02,7.584e+03,2.306e+02,8.256e+03
15.3,5.557e+02,1.072e+04,2.463e+02,1.153e+04
16.9,6.888e+02,1.433e+04,1.969e+02,1.521e+04
18.4,5.521e+02,1.958e+04,1.483e+02,2.028e+04
19.9,6.153e+02,2.179e+04,1.456e+02,2.255e+04
21.5,6.331e+02,2.366e+04,1.439e+02,2.444e+04
23.0,6.156e+02,3.005e+04,1.492e+02,3.081e+04
24.6,6.425e+02,3.935e+04,1.189e+02,4.011e+04
26.1,5.357e+02,4.906e+04,1.779e+02,4.977e+04
27.6,7.286e+02,6.394e+04,2.960e+02,6.496e+04
29.2,8.763e+02,9.019e+04,4.583e+02,9.153e+04
30.7,1.349e+03,1.358e+05,7.918e+02,1.379e+05
32.2,3.220e+03,2.139e+05,1.829e+03,2.190e+05
33.8,7.354e+03,3.502e+05,5.230e+03,3.628e+05
35.3,2.401e+04,6.613e+05,1.115e+04,6.965e+05
36.8,8.269e+04,1.441e+06,2.133e+04,1.545e+06
38.4,2.060e+05,2.568e+06,3.730e+04,2.811e+06
39.9,3.194e+05,2.988e+06,4.649e+04,3.354e+06
41.4,3.578e+05,2.479e+06,4.572e+04,2.883e+06
43.0,3.520e+05,1.781e+06,4.055e+04,2.174e+06
44.5,3.579e+05,1.272e+06,3.469e+04,1.665e+06
